vehicle_id,event,event_ts
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-09-01T21:46:45.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2022-01-01T04:56:35.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-09-22T21:55:04.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-11-21T22:43:48.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2023-01-10T14:59:11.000327+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2021-10-01T17:43:03.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2021-10-25T17:35:28.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2023-01-23T18:05:32.000020+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOn,2021-10-26T23:36:54.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOff,2021-11-24T20:33:04.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOff,2022-01-19T00:09:51.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2022-01-11T16:54:37.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-10-22T13:20:36.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2021-10-01T17:46:40.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2021-10-04T17:45:39.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-11-18T16:19:14.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2021-12-18T17:57:22.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOff,2021-10-30T21:51:27.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-12-03T16:32:08.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-09-17T18:30:47.000000+0000
cefc7df0-cf57-46ab-8180-55d437e07d9f,ignitionOn,2023-01-11T00:32:15.000002+0000
9eb5ac45-bbf9-4a07-83d8-044372f336c7,ignitionOn,2023-01-01T22:19:53.000002+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOff,2021-11-01T15:18:05.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOn,2021-11-03T14:25:10.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOff,2021-09-27T15:26:44.000000+0000
ef67f6d6-196a-4bc0-94fa-c13ad9672dac,ignitionOff,2023-01-05T01:57:18.000029+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-10-24T20:44:11.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2021-12-27T20:20:16.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOff,2021-10-31T02:19:18.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-09-19T15:54:42.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-10-14T20:15:09.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-11-02T14:25:44.000000+0000
8ce8b281-3c5e-4b17-a863-630b9fc813dc,ignitionOn,2023-01-21T01:13:15.000002+0000
fb20e847-d2a1-4583-b874-393c9d1f3db9,artificial_event,2022-01-14T04:29:42.013000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-09-22T23:45:21.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-11-28T05:07:34.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-09-26T09:20:35.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-10-13T22:26:50.000000+0000
56d8ca94-9b18-41d1-831f-7afd905326d4,ignitionOn,2023-01-21T06:37:37.000020+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-10-26T18:26:57.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-11-04T16:41:52.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-09-09T16:16:04.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-11-26T00:28:26.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2022-01-10T04:12:24.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOn,2021-12-14T19:46:09.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2021-11-20T20:28:15.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2021-11-27T18:03:00.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOn,2021-09-10T16:11:22.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-12-09T21:42:31.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2022-01-20T22:24:37.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2022-01-30T06:18:58.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-09-13T00:59:54.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-11-03T20:51:44.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2022-01-04T00:40:23.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2023-01-10T20:20:31.000113+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-10-18T23:16:02.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2021-11-26T23:44:45.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2022-01-24T18:59:44.000000+0000
ef67f6d6-196a-4bc0-94fa-c13ad9672dac,ignitionOn,2023-01-02T23:17:46.000002+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-09-29T14:35:46.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-10-28T15:19:29.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-09-28T17:49:23.000000+0000
807158a9-c266-4cda-b061-e76314b1b422,ignitionOn,2023-01-08T20:17:57.000002+0000
9eb5ac45-bbf9-4a07-83d8-044372f336c7,ignitionOn,2023-01-03T01:30:40.000002+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2022-01-23T05:49:14.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOff,2021-09-02T00:08:47.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2021-12-19T21:47:14.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-10-14T23:47:47.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2021-12-05T21:07:25.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-10-09T16:38:28.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOn,2021-09-08T16:12:01.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2021-10-17T20:46:49.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-11-26T00:44:09.000000+0000
56d8ca94-9b18-41d1-831f-7afd905326d4,ignitionOn,2023-01-01T04:26:55.000002+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2021-12-17T22:01:08.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2021-12-28T17:49:03.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-09-22T18:03:21.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2022-01-15T01:37:49.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2021-09-23T17:45:35.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOn,2022-01-27T00:23:08.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-10-28T17:22:16.000000+0000
8ce8b281-3c5e-4b17-a863-630b9fc813dc,ignitionOn,2023-01-10T08:11:53.000002+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2021-12-17T00:29:38.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2021-12-18T00:20:47.000000+0000
9eb5ac45-bbf9-4a07-83d8-044372f336c7,ignitionOff,2023-01-26T00:06:05.000018+0000
cefc7df0-cf57-46ab-8180-55d437e07d9f,ignitionOff,2023-01-04T01:00:15.000029+0000
fb20e847-d2a1-4583-b874-393c9d1f3db9,artificial_event,2021-12-31T16:41:45.040000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2021-11-23T20:19:01.000000+0000
8ce8b281-3c5e-4b17-a863-630b9fc813dc,ignitionOff,2023-01-14T17:45:11.000020+0000
56d8ca94-9b18-41d1-831f-7afd905326d4,ignitionOn,2023-01-07T02:59:29.000011+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-12-03T22:08:35.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-12-08T19:31:55.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2021-10-02T16:01:28.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2022-01-06T17:17:49.000000+0000
cefc7df0-cf57-46ab-8180-55d437e07d9f,ignitionOn,2023-01-03T02:38:26.000002+0000
56d8ca94-9b18-41d1-831f-7afd905326d4,ignitionOn,2023-01-22T21:22:35.000002+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2023-01-28T18:36:28.000002+0000
ef67f6d6-196a-4bc0-94fa-c13ad9672dac,ignitionOn,2023-01-03T04:24:37.000002+0000
56d8ca94-9b18-41d1-831f-7afd905326d4,ignitionOn,2023-01-17T08:25:26.000002+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-11-18T23:20:43.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-12-04T02:06:38.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2021-11-14T23:18:49.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2021-12-16T21:46:25.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOff,2021-11-15T15:30:14.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOn,2022-01-10T18:32:09.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2021-09-25T16:26:15.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOff,2021-09-13T15:39:00.000000+0000
ef67f6d6-196a-4bc0-94fa-c13ad9672dac,ignitionOn,2023-01-27T17:06:54.000002+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,artificial_event,2022-01-22T23:06:20.018000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2021-11-27T21:45:12.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-10-10T22:32:54.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2023-01-04T18:09:03.000002+0000
ef67f6d6-196a-4bc0-94fa-c13ad9672dac,ignitionOn,2023-01-28T18:27:01.000008+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2022-01-28T18:38:37.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2023-01-02T22:22:28.000002+0000
9eb5ac45-bbf9-4a07-83d8-044372f336c7,ignitionOff,2023-01-23T22:48:43.000049+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2023-01-15T10:45:06.000020+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2022-01-24T19:30:25.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOff,2021-09-03T19:03:58.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-10-07T15:16:22.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2023-01-10T15:57:56.000029+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2022-01-08T20:36:16.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-10-02T01:38:03.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOff,2021-10-18T15:39:08.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2022-01-17T19:11:18.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2021-11-30T01:44:35.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2021-12-11T10:05:38.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOff,2021-12-04T22:40:21.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2022-01-06T19:23:10.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2023-01-09T01:32:16.000002+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOff,2021-10-20T16:08:01.000000+0000
d44b765e-d86f-46f8-ba46-8cd913c49285,ignitionOn,2021-11-10T01:13:23.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2021-10-22T19:51:54.000000+0000
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,ignitionOn,2022-01-17T23:15:14.000000+0000
66bd55df-eaf0-49c8-b9e1-7759b85e9325,ignitionOn,2021-10-21T19:05:58.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2021-11-11T19:02:12.000000+0000
9893c80d-f282-46cf-a794-280f0306c936,ignitionOn,2023-01-02T14:58:00.000002+0000
